

*******************************************************************************
Ephemeris / WWW_USER Mon Apr  3 08:54:02 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 10:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-17 10:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000, -6.873921126446363E+08, -4.056320389973335E+08, -1.571402564909188E+08,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000, -6.873675281389766E+08, -4.056663044436666E+08, -1.571555420362478E+08,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000, -6.873429412234223E+08, -4.057005689803957E+08, -1.571708272605760E+08,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000, -6.873183518480920E+08, -4.057348325644316E+08, -1.571861121425434E+08,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000, -6.872937599710282E+08, -4.057690951470062E+08, -1.572013966582048E+08,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000, -6.872691655589877E+08, -4.058033566748178E+08, -1.572166807815887E+08,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000, -6.872445685880207E+08, -4.058376170912666E+08, -1.572319644852953E+08,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000, -6.872199690438319E+08, -4.058718763377458E+08, -1.572472477411180E+08,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000, -6.871953669219217E+08, -4.059061343549573E+08, -1.572625305206726E+08,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000, -6.871707622275019E+08, -4.059403910842159E+08, -1.572778127960182E+08,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000, -6.871461549752053E+08, -4.059746464687165E+08, -1.572930945402565E+08,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000, -6.871215451885933E+08, -4.060089004547318E+08, -1.573083757280955E+08,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000, -6.870969328994844E+08, -4.060431529927205E+08, -1.573236563363673E+08,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000, -6.870723181471250E+08, -4.060774040383244E+08, -1.573389363444910E+08,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000, -6.870477009772196E+08, -4.061116535532382E+08, -1.573542157348721E+08,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000, -6.870230814408525E+08, -4.061459015059417E+08, -1.573694944932353E+08,
