*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Apr  3 01:36:14 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 10:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-17 10:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000,  4.280220370974649E+09, -1.320820544778579E+09, -7.144233474802691E+07,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000,  4.280226008898337E+09, -1.320801730161784E+09, -7.144284972167426E+07,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000,  4.280231646744370E+09, -1.320782915528777E+09, -7.144336470577145E+07,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000,  4.280237284512769E+09, -1.320764100879531E+09, -7.144387970030761E+07,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000,  4.280242922203554E+09, -1.320745286214016E+09, -7.144439470527214E+07,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000,  4.280248559816742E+09, -1.320726471532207E+09, -7.144490972065419E+07,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000,  4.280254197352355E+09, -1.320707656834073E+09, -7.144542474644375E+07,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000,  4.280259834810412E+09, -1.320688842119588E+09, -7.144593978262919E+07,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000,  4.280265472190931E+09, -1.320670027388723E+09, -7.144645482920039E+07,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000,  4.280271109493934E+09, -1.320651212641450E+09, -7.144696988614649E+07,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000,  4.280276746719440E+09, -1.320632397877741E+09, -7.144748495345652E+07,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000,  4.280282383867467E+09, -1.320613583097568E+09, -7.144800003112042E+07,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000,  4.280288020938036E+09, -1.320594768300904E+09, -7.144851511912698E+07,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000,  4.280293657931166E+09, -1.320575953487720E+09, -7.144903021746570E+07,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  4.280299294846877E+09, -1.320557138657987E+09, -7.144954532612562E+07,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000,  4.280304931685188E+09, -1.320538323811679E+09, -7.145006044509643E+07,
